trans_id,lang,translation
大学病院南門,en,Daigaku Byoin-minamimon (Univ. Hospital South Gate)
大学病院南門,ko,대학병원 미나미몬
大学病院南門,zh-cn,大学医院南门
大学病院南門,zh-tw,大學醫院南門
東雲本町三丁目,ja,東雲本町三丁目
東雲本町三丁目,ja-Hrkt,しののめほんまちさんちょうめ
東雲本町三丁目,en,Shinonome-honmachi-sanchome (Shinonome-honmachi 3)
東雲本町三丁目,ko,시노노메 혼마치 3초메
東雲本町三丁目,zh-cn,东云本町三丁目
東雲本町三丁目,zh-tw,東雲本町三丁目
市立工業高校入口,ja,市立工業高校入口
市立工業高校入口,ja-Hrkt,しりつこうぎょうこうこういりぐ
市立工業高校入口,en,Shiritsu Kogyo Koko-iriguchi (Municipal Technial High School Entrance)
市立工業高校入口,ko,시립공업고등학교
市立工業高校入口,zh-cn,市立工业高中入口
市立工業高校入口,zh-tw,市立工業高中入口
東雲,ja,東雲
東雲,ja-Hrkt,しののめ
東雲,en,Shinonome
東雲,ko,시노노메
東雲,zh-cn,东云
東雲,zh-tw,東雲
仁保二丁目,ja,仁保二丁目
仁保二丁目,ja-Hrkt,にほにちょうめ
仁保二丁目,en,Niho-nichome (Niho 2)
仁保二丁目,ko,니호 2초메
仁保二丁目,zh-cn,仁保二丁目
仁保二丁目,zh-tw,仁保二丁目
向洋本町,ja,向洋本町
向洋本町,ja-Hrkt,むかいなだほんまち
向洋本町,en,Mukainada-honmachi
向洋本町,ko,무카이나다 혼마치
向洋本町,zh-cn,向洋本町
向洋本町,zh-tw,向洋本町
堀越三丁目,ja,堀越三丁目
堀越三丁目,ja-Hrkt,ほりこしさんちょうめ
堀越三丁目,en,Horikoshi-sanchome (Horikoshi 3)
堀越三丁目,ko,호리코시 3초메
堀越三丁目,zh-cn,堀越三丁目
堀越三丁目,zh-tw,堀越三丁目
東部市場前,ja,東部市場前
東部市場前,ja-Hrkt,とうぶしじょうまえ
東部市場前,en,Tobu Shijo-mae
東部市場前,ko,도부시조 마에
東部市場前,zh-cn,东部市场前
東部市場前,zh-tw,東部市場前
鴻治新田,ja,鴻治新田
鴻治新田,ja-Hrkt,こうぢしんでん
鴻治新田,en,Koji Shinden
鴻治新田,ko,고지 신덴
鴻治新田,zh-cn,鸿治新田
鴻治新田,zh-tw,鴻治新田
袋町,ja,袋町
袋町,ja-Hrkt,ふくろまち
袋町,en,Fukuromachi
袋町,ko,후쿠로마치
袋町,zh-cn,袋町
袋町,zh-tw,袋町
国泰寺町二丁目,ja,国泰寺町二丁目
国泰寺町二丁目,ja-Hrkt,こくたいじまちにちょうめ
国泰寺町二丁目,en,Kokutaijimachi-nichome (Kokutaijimachi 2)
国泰寺町二丁目,ko,고쿠타이지마치 2초메
国泰寺町二丁目,zh-cn,国泰寺町二丁目
国泰寺町二丁目,zh-tw,國泰寺町二丁目
曙町,ja,曙町
曙町,ja-Hrkt,あけぼのちょう
曙町,en,Akebonomachi
曙町,ko,아케보노마치
曙町,zh-cn,曙町
曙町,zh-tw,曙町
海田中学校入口,ja,海田中学校入口
海田中学校入口,ja-Hrkt,かいたちゅうがっこういりぐち
海田中学校入口,en,Kaita Chugakko-iriguchi (Kaita Junior High School)
海田中学校入口,ko,가이타 중학교
海田中学校入口,zh-cn,海田中学入口
海田中学校入口,zh-tw,海田中學入口
海田東小学校前,ja,海田東小学校前
海田東小学校前,ja-Hrkt,かいたひがししょうがっこうまえ
海田東小学校前,en,Kaita-higashi Shogakko-mae (Kaita-higashi Elementary School)
海田東小学校前,ko,가이타 히가시 초등학교
海田東小学校前,zh-cn,海田东小学前
海田東小学校前,zh-tw,海田東小學前
寺迫,ja,寺迫
寺迫,ja-Hrkt,てらさこ
寺迫,en,Terasako
寺迫,ko,데라사코
寺迫,zh-cn,寺迫
寺迫,zh-tw,寺迫
東三迫橋,ja,東三迫橋
東三迫橋,ja-Hrkt,ひがしみさこばし
東三迫橋,en,Higashi-misakobashi
東三迫橋,ko,히가시미사코바시
東三迫橋,zh-cn,东三迫桥
東三迫橋,zh-tw,東三迫橋
三迫,ja,三迫
三迫,ja-Hrkt,みさこ
三迫,en,Misako
三迫,ko,미사코
三迫,zh-cn,三迫
三迫,zh-tw,三迫
三迫二丁目,ja,三迫二丁目
三迫二丁目,ja-Hrkt,みさこにちょうめ
三迫二丁目,en,Misako-nichome (Misako 2)
三迫二丁目,ko,미사코 2초메
三迫二丁目,zh-cn,三迫二丁目
三迫二丁目,zh-tw,三迫二丁目
海田郵便局前,ja,海田郵便局前
海田郵便局前,ja-Hrkt,かいたゆうびんきょくまえ
海田郵便局前,en,Kaita Yubinkyoku-mae (Kaita Post Office)
海田郵便局前,ko,가이타 우체국
海田郵便局前,zh-cn,海田邮局前
海田郵便局前,zh-tw,海田郵局前
さいわい保育所前,ja,さいわい保育所前
さいわい保育所前,ja-Hrkt,さいわいほいくしょまえ
さいわい保育所前,en,Saiwai Hoikusho-mae (Saiwai Nursery)
さいわい保育所前,ko,사이와이 보육소
さいわい保育所前,zh-cn,幸保育所前
さいわい保育所前,zh-tw,幸保育所前
広大東口,ja,広大東口
広大東口,ja-Hrkt,ひろだいひがしぐち
広大東口,en,Hirodai-higashiguchi (Hiroshima Univ. East Entrance)
広大東口,ko,히로다이 히가시구치
