region_id,region_nm,ward_nm,population,households,area_km2,pop_density
34102168001,中山新町一丁目,広島市東区,595,247,0.06995024142150236,8506.046411115029
34102168002,中山新町二丁目,広島市東区,531,215,0.08522188533419728,6230.793861432256
34102168003,中山新町三丁目,広島市東区,1530,494,0.1983445535262591,7713.849323306179
34102838001,温品一丁目,広島市東区,550,208,0.15945539217304125,3449.2405211555288
34102838002,温品二丁目,広島市東区,1190,518,0.16608693030494084,7164.922596950419
34102838003,温品三丁目,広島市東区,1154,528,0.16882077109955326,6835.651753536232
34102838004,温品四丁目,広島市東区,1590,764,0.14863192019238802,10697.567507315496
34102838005,温品五丁目,広島市東区,1074,431,0.17625677920075744,6093.382648146022
34102838006,温品六丁目,広島市東区,678,305,0.12195263688115494,5559.535384714341
34102838007,温品七丁目,広島市東区,798,297,0.1378428925116232,5789.1994680299595
34102838008,温品八丁目,広島市東区,362,148,0.09319926353489859,3884.150864179829
34102839001,上温品一丁目,広島市東区,982,327,0.15962089775408392,6152.076662999945
34102839002,上温品二丁目,広島市東区,1118,489,0.13933635924457502,8023.749192682661
34102839003,上温品三丁目,広島市東区,844,348,0.16418627932917063,5140.502625727315
34102839004,上温品四丁目,広島市東区,2104,889,0.2939966871920932,7156.5432253502795
341028391,上温品,広島市東区,18,5,0.002862768860916918,6287.619041040836
34102840001,馬木一丁目,広島市東区,161,77,0.10327527259036562,1558.9404507175266
34102840002,馬木二丁目,広島市東区,618,239,0.31911410210846025,1936.6113747926897
34102840003,馬木三丁目,広島市東区,1058,413,0.15142877046211822,6986.7832695945435
34102840004,馬木四丁目,広島市東区,637,272,0.13212159374119184,4821.316349300146
34102840005,馬木五丁目,広島市東区,509,233,0.16691236781729807,3049.504399561034
34102840006,馬木六丁目,広島市東区,420,166,0.13327008625492737,3151.4949213478985
34102840007,馬木七丁目,広島市東区,1098,400,0.2242159798999979,4897.0639848672545
