region_id,region_nm,bus_stop_cnt
34108972003,八幡東三丁目,3
34108972004,八幡東四丁目,4
34108973001,利松一丁目,2
34108973003,利松三丁目,2
34108974002,八幡二丁目,2
34108974004,八幡四丁目,2
34108974005,八幡五丁目,3
34108975001,薬師が丘一丁目,1
34108975002,薬師が丘二丁目,2
34108975004,薬師が丘四丁目,1
34108977001,観音台一丁目,2
34108977002,観音台二丁目,2
34108977003,観音台三丁目,2
34108977004,観音台四丁目,1
34108978001,倉重一丁目,2
34108979001,千同一丁目,2
34108979002,千同二丁目,2
34108980001,坪井一丁目,2
34108980003,坪井三丁目,2
34108981003,三宅三丁目,4
34108981006,三宅六丁目,1
341089840,坪井町,1
34108986001,河内南一丁目,2
34108986002,河内南二丁目,4
34108988003,石内南三丁目,1
34108988004,石内南四丁目,2
34108991002,石内北二丁目,1
