region_id,region_nm,population,area_km2,pop_density
11220510,서초1동,20211,1.3816403820720047,14628.263810362989
11220520,서초2동,25123,1.2299920773817399,20425.3348147403
11220530,서초3동,32454,2.996312695971955,10831.312781082233
11220540,서초4동,30249,0.8791082708452472,34408.73098704454
11220550,잠원동,35051,1.755541339505911,19965.92117270502
11220560,반포본동,223,0.9718072198326961,229.46937977924378
11220570,반포1동,33770,0.9916182690024075,34055.44356698214
11220580,반포2동,26596,1.3949826072868814,19065.47068119142
11220590,반포3동,23709,1.2507665253635876,18955.576056137244
11220600,반포4동,19093,1.426067023193074,13388.571286957676
11220610,방배본동,20170,0.6770022608332347,29793.105823864385
11220620,방배1동,16443,0.6887266877161384,23874.49229610375
11220630,방배2동,17690,1.90260372072893,9297.784823642922
11220640,방배3동,15669,2.373348793078361,6602.063736142408
11220650,방배4동,24156,0.9488146509076828,25459.134697057198
11220660,양재1동,40931,5.760706417073631,7105.204993382124
11220670,양재2동,20993,7.55651663097076,2778.13191252159
11220680,내곡동,16764,12.699154082174644,1320.0879280243585
11230510,신사동,15291,2.0576786457562597,7431.189525894161
11230520,논현1동,21500,1.2577917829258476,17093.44924323418
11230530,논현2동,20506,1.4574170035359824,14070.097954290626
11230580,삼성1동,13005,1.9431435326693276,6692.763443025138
11230590,삼성2동,30628,1.2413261987014943,24673.611200697145
11230600,대치1동,23800,0.8092048156082495,29411.58967536595
11230790,대치2동,38694,1.8359623759582842,21075.595288167922
11230630,대치4동,18326,0.7005469277537415,26159.56087161946
11230640,역삼1동,35623,2.360341393955667,15092.30829541139
11230650,역삼2동,36481,1.1341660162880605,32165.485013734
11230660,도곡1동,20852,1.049811325219223,19862.61673796066
11230670,도곡2동,32199,0.9900085131403382,32523.96274640483
11230680,개포1동,26681,1.448844313923387,18415.367160981834
11230800,개포2동,42206,2.2416222063870075,18828.328823538293
11230511,개포3동,15997,1.2992929533090762,12312.080935449072
11230710,개포4동,23159,1.6641919336066235,13916.063124888486
11230720,일원본동,22439,2.352816395596485,9537.08076924178
11230730,일원1동,14221,0.9527379558966073,14926.454763331889
11230750,수서동,13612,1.6281468407620265,8360.425275664407
11230760,세곡동,46157,6.362857295363909,7254.130944227023
11230770,압구정동,25668,2.3432777495913917,10953.887137141915
11230780,청담동,25463,2.32744310076374,10940.331899690449
11240510,풍납1동,11193,1.074461394691521,10417.312390468456
11240520,풍납2동,23142,2.562573008519542,9030.767093488459
