町丁目・大字別人口及び世帯,,,,,,,,,,,,,
令和8年7月末現在,,,,,,,,,,,,,
,,,,,,,,,,,,,
年,月,区名,住所名,秘匿区分,人口（総数計）:人,人口（総数男）:人,人口（総数女）:人,人口（日本人計）:人,人口（日本人男）:人,人口（日本人女）:人,人口（外国人）:人,世帯（総数）:世帯,世帯（日本人世帯）:世帯
2026,7,東区,中山東二丁目,,279,132,147,275,130,145,4,147,143
2026,7,東区,中山東三丁目,,479,210,269,474,207,267,5,219,217
2026,7,東区,中山中町,,"1,234",590,644,"1,226",587,639,8,564,556
2026,7,東区,中山上一丁目,,839,408,431,837,407,430,2,262,260
2026,7,東区,中山上二丁目,,"1,608",806,802,"1,569",779,790,39,713,698
2026,7,東区,中山北町,,460,239,221,457,237,220,3,157,154
2026,7,東区,中山鏡が丘,,871,403,468,850,393,457,21,373,365
2026,7,東区,中山新町一丁目,,556,271,285,548,268,280,8,261,255
2026,7,東区,中山新町二丁目,,561,266,295,557,265,292,4,242,240
2026,7,東区,中山新町三丁目,,"1,428",710,718,"1,416",706,710,12,528,521
2026,7,東区,温品一丁目,,510,261,249,507,260,247,3,219,216
2026,7,東区,温品二丁目,,"1,193",583,610,"1,172",577,595,21,596,581
2026,7,東区,温品三丁目,,"1,260",617,643,"1,248",613,635,12,608,599
2026,7,東区,温品四丁目,,"1,530",713,817,"1,473",675,798,57,795,752
2026,7,東区,温品五丁目,,"1,065",530,535,"1,052",522,530,13,434,425
2026,7,東区,温品六丁目,,695,328,367,688,324,364,7,329,323
2026,7,東区,温品七丁目,,689,350,339,682,349,333,7,336,332
2026,7,東区,温品八丁目,,358,175,183,351,173,178,7,168,164
2026,7,東区,上温品一丁目,,837,398,439,824,391,433,13,394,381
2026,7,東区,上温品二丁目,,"1,041",493,548,"1,033",488,545,8,531,525
2026,7,東区,上温品三丁目,,918,444,474,913,444,469,5,419,415
2026,7,東区,上温品四丁目,,"2,011",925,"1,086","2,000",918,"1,082",11,995,986
2026,7,東区,馬木一丁目,,148,77,71,145,74,71,3,85,82
2026,7,東区,馬木二丁目,,542,264,278,528,254,274,14,286,273
2026,7,東区,馬木三丁目,,931,453,478,921,445,476,10,476,466
2026,7,東区,馬木四丁目,,627,309,318,620,306,314,7,310,303
2026,7,東区,馬木五丁目,,498,249,249,494,247,247,4,263,259
2026,7,東区,馬木六丁目,,413,204,209,412,204,208,1,197,196
2026,7,東区,馬木七丁目,,"1,264",599,665,"1,243",588,655,21,502,485
