町丁目・大字別人口及び世帯,,,,,,,,,,,,,
令和8年7月末現在,,,,,,,,,,,,,
,,,,,,,,,,,,,
年,月,区名,住所名,秘匿区分,人口（総数計）:人,人口（総数男）:人,人口（総数女）:人,人口（日本人計）:人,人口（日本人男）:人,人口（日本人女）:人,人口（外国人）:人,世帯（総数）:世帯,世帯（日本人世帯）:世帯
2026,7,南区,東雲本町一丁目,,"1,534",714,820,"1,508",706,802,26,865,842
2026,7,南区,東雲本町二丁目,,"1,909",950,959,"1,858",924,934,51,"1,072","1,031"
2026,7,南区,東雲本町三丁目,,795,402,393,775,392,383,20,511,497
2026,7,南区,東雲一丁目,,"1,955","1,010",945,"1,873",961,912,82,"1,101","1,029"
2026,7,南区,東雲二丁目,,"3,782","1,939","1,843","3,682","1,884","1,798",100,"2,019","1,943"
2026,7,南区,東雲三丁目,,"2,149","1,094","1,055","2,112","1,074","1,038",37,"1,026",990
2026,7,南区,仁保新町一丁目,,793,368,425,776,361,415,17,410,394
2026,7,南区,仁保新町二丁目,,"1,592",767,825,"1,557",747,810,35,808,778
2026,7,南区,黄金山町,,461,226,235,455,226,229,6,242,238
2026,7,南区,仁保一丁目,,"1,941",920,"1,021","1,888",893,995,53,952,908
2026,7,南区,仁保二丁目,,"1,004",486,518,992,480,512,12,508,496
2026,7,南区,仁保三丁目,,"1,264",626,638,"1,230",600,630,34,582,555
2026,7,南区,仁保四丁目,,330,153,177,328,152,176,2,162,160
2026,7,南区,東本浦町,,"1,899",944,955,"1,859",926,933,40,985,953
2026,7,南区,西本浦町,,"1,098",498,600,"1,076",490,586,22,571,553
2026,7,南区,本浦町,,"1,712",802,910,"1,696",795,901,16,858,843
2026,7,南区,山城町,,561,261,300,548,257,291,13,273,261
2026,7,南区,北大河町,,"1,493",705,788,"1,477",697,780,16,744,733
2026,7,南区,南大河町,,"1,123",544,579,"1,118",542,576,5,548,545
2026,7,南区,丹那町,,"2,819","1,414","1,405","2,764","1,381","1,383",55,"1,375","1,324"
2026,7,南区,丹那新町,,536,261,275,521,254,267,15,271,260
2026,7,南区,日宇那町,,620,282,338,619,282,337,1,317,316
2026,7,南区,楠那町,,443,224,219,438,220,218,5,214,209
2026,7,南区,東霞町,,"1,028",467,561,966,433,533,62,504,464
2026,7,南区,西霞町,,"1,256",604,652,"1,239",597,642,17,675,662
2026,7,南区,宇品西一丁目,,628,316,312,626,315,311,2,310,309
2026,7,南区,宇品西二丁目,,"1,867",916,951,"1,844",900,944,23,951,934
2026,7,南区,宇品西三丁目,,"1,745",851,894,"1,728",846,882,17,795,784
2026,7,南区,宇品西四丁目,,"1,491",720,771,"1,476",713,763,15,669,661
2026,7,南区,宇品西五丁目,,"1,852",924,928,"1,835",918,917,17,680,669
