trans_id,lang,translation
日赤病院前,ja-Hrkt,にっせきびょういんまえ
日赤病院前,en,Nisseki Byoin-mae (Red Cross Hospital)
日赤病院前,ko,닛세키보인 마에
日赤病院前,zh-cn,日赤医院前
日赤病院前,zh-tw,日赤醫院前
竹屋町西,ja,竹屋町西
竹屋町西,ja-Hrkt,たけやちょうにし
竹屋町西,en,Takeyacho-nishi
竹屋町西,ko,다케야초 니시
竹屋町西,zh-cn,竹屋町西
竹屋町西,zh-tw,竹屋町西
保健所前,ja,保健所前
保健所前,ja-Hrkt,ほけんしょまえ
保健所前,en,Hokensho-mae
保健所前,ko,보건소
保健所前,zh-cn,保健所前
保健所前,zh-tw,保健所前
富士見町,ja,富士見町
富士見町,ja-Hrkt,ふじみちょう
富士見町,en,Fujimicho
富士見町,ko,후지미초
富士見町,zh-cn,富士见町
富士見町,zh-tw,富士見町
新天地,ja,新天地
新天地,ja-Hrkt,しんてんち
新天地,en,Shintenchi
新天地,ko,신텐치
新天地,zh-cn,新天地
新天地,zh-tw,新天地
幟町,ja,幟町
幟町,ja-Hrkt,のぼりまち
幟町,en,Noboricho
幟町,ko,노보리초
幟町,zh-cn,帜町
幟町,zh-tw,幟町
広島駅④,ja,広島駅④
広島駅④,ja-Hrkt,ひろしまえき
広島駅④,en,Hiroshima Sta.
広島駅④,ko,히로시마 역
広島駅④,zh-cn,广岛站
広島駅④,zh-tw,廣島站
旭二丁目,ja,旭二丁目
旭二丁目,ja-Hrkt,あさひにちょうめ
旭二丁目,en,Asahi-nichome (Asahi 2)
旭二丁目,ko,아사히 2초메
旭二丁目,zh-cn,旭二丁目
旭二丁目,zh-tw,旭二丁目
翠町第二公園前,ja,翠町第二公園前
翠町第二公園前,ja-Hrkt,みどりまちだいにこうえんまえ
翠町第二公園前,en,Midorimachi Daini Koen-mae (Midorimachi Daini Park)
翠町第二公園前,ko,미도리마치 다이니 공원
翠町第二公園前,zh-cn,翠町第二公园前
翠町第二公園前,zh-tw,翠町第二公園前
譲羽団地入口,ja,譲羽団地入口
譲羽団地入口,ja-Hrkt,ゆずりはだんちいりぐち
譲羽団地入口,en,Yuzuriha Danchi-iriguchi
譲羽団地入口,ko,유즈리하 단치 이리구치
譲羽団地入口,zh-cn,让羽团地入口
譲羽団地入口,zh-tw,讓羽團地入口
星が丘,ja,星が丘
星が丘,ja-Hrkt,ほしがおか
星が丘,en,Hoshigaoka
星が丘,ko,호시가오카
星が丘,zh-cn,星丘
星が丘,zh-tw,星丘
星が丘上,ja,星が丘上
星が丘上,ja-Hrkt,ほしがおかかみ
星が丘上,en,Hoshigaoka-kami
星が丘上,ko,호시가오카 카미
星が丘上,zh-cn,星丘上
星が丘上,zh-tw,星丘上
星が丘中,ja,星が丘中
星が丘中,ja-Hrkt,ほしがおかなか
星が丘中,en,Hoshigaoka-naka
星が丘中,ko,호시가오카 나카
星が丘中,zh-cn,星丘中
星が丘中,zh-tw,星丘中
星が丘下,ja,星が丘下
星が丘下,ja-Hrkt,ほしがおかしも
星が丘下,en,Hoshigaoka-shimo
星が丘下,ko,호시가오카 시모
星が丘下,zh-cn,星丘下
星が丘下,zh-tw,星丘下
鈴張市,ja,鈴張市
鈴張市,ja-Hrkt,すずはりいち
鈴張市,en,Suzuhariichi
鈴張市,ko,스즈하리이치
鈴張市,zh-cn,铃张市
鈴張市,zh-tw,鈴張市
杉の迫,ja,杉の迫
杉の迫,ja-Hrkt,すぎのさこ
杉の迫,en,Suginosako
杉の迫,ko,스기노사코
杉の迫,zh-cn,杉之迫
杉の迫,zh-tw,杉之迫
広島北工業団地,ja,広島北工業団地
広島北工業団地,ja-Hrkt,ひろしまきたこうぎょうだんち
広島北工業団地,en,Hiroshima-kita Kogyodanchi
広島北工業団地,ko,히로시마 키타 코교 단치
広島北工業団地,zh-cn,广岛北工业团地
広島北工業団地,zh-tw,廣島北工業團地
森城団地中央,ja,森城団地中央
森城団地中央,ja-Hrkt,もりじょうだんちちゅうおう
森城団地中央,en,Morijo Danchi-chuo (Morijo Housing Complex)
森城団地中央,ko,모리조 단치 추오
森城団地中央,zh-cn,森城团地中央
森城団地中央,zh-tw,森城團地中央
森城団地中,ja,森城団地中
森城団地中,ja-Hrkt,もりじょうだんちなか
森城団地中,en,Morijo Danchi-naka (Morijo Housing Complex)
森城団地中,ko,모리조 단치 나카
森城団地中,zh-cn,森城团地中
森城団地中,zh-tw,森城團地中
森城団地入口,ja,森城団地入口
森城団地入口,ja-Hrkt,もりじょうだんちいりぐち
森城団地入口,en,Morijo Danchi-iriguchi (Morijo Housing Complex)
森城団地入口,ko,모리조 단치 이리구치
森城団地入口,zh-cn,森城团地入口
森城団地入口,zh-tw,森城團地入口
上烏帽子,ja,上烏帽子
上烏帽子,ja-Hrkt,かみえぼし
上烏帽子,en,Kami-eboshi
上烏帽子,ko,가미에보시
上烏帽子,zh-cn,上乌帽子
上烏帽子,zh-tw,上烏帽子
下烏帽子,ja,下烏帽子
下烏帽子,ja-Hrkt,しもえぼし
下烏帽子,en,Shimo-eboshi
下烏帽子,ko,시모에보시
下烏帽子,zh-cn,下乌帽子
下烏帽子,zh-tw,下烏帽子
上飯室,ja,上飯室
上飯室,ja-Hrkt,かみいむろ
上飯室,en,Kami-imuro
上飯室,ko,가미이무로
上飯室,zh-cn,上饭室
上飯室,zh-tw,上飯室
飯室,ja,飯室
飯室,ja-Hrkt,いむろ
飯室,en,Imuro
飯室,ko,이무로
飯室,zh-cn,饭室
飯室,zh-tw,飯室
広島北インター入口,ja,広島北インター入口
広島北インター入口,ja-Hrkt,ひろしまきたいんたーいりぐち
広島北インター入口,en,Hiroshima-kita Inter-iriguchi
広島北インター入口,ko,히로시마 키타 인터 이리구치
広島北インター入口,zh-cn,广岛北IC入口
広島北インター入口,zh-tw,廣島北IC入口
幕の内東,ja,幕の内東
幕の内東,ja-Hrkt,まくのうちひがし
幕の内東,en,Makunouchi-higashi
幕の内東,ko,마쿠노우치 히가시
幕の内東,zh-cn,幕之内东
幕の内東,zh-tw,幕之內東
上行森,ja,上行森
上行森,ja-Hrkt,かみゆきもり
上行森,en,Kami-yukimori
上行森,ko,가미유키모리
上行森,zh-cn,上行森
上行森,zh-tw,上行森
下行森,ja,下行森
下行森,ja-Hrkt,しもゆきもり
下行森,en,Shimo-yukimori
下行森,ko,시모유키모리
下行森,zh-cn,下行森
下行森,zh-tw,下行森
上勝木,ja,上勝木
上勝木,ja-Hrkt,かみかつぎ
上勝木,en,Kami-katsugi
上勝木,ko,가미카쓰기
上勝木,zh-cn,上胜木
上勝木,zh-tw,上勝木
勝木,ja,勝木
勝木,ja-Hrkt,かつぎ（かつぎえいぎょうしょ）
勝木,en,Katsugi/Katsugi Eigyosho
勝木,ko,가쓰기（가쓰기 영업소）
勝木,zh-cn,胜木（胜木营业所）
勝木,zh-tw,勝木（勝木營業所）
下勝木,ja,下勝木
下勝木,ja-Hrkt,しもかつぎ
下勝木,en,Shimo-katsugi
下勝木,ko,시모카쓰기
下勝木,zh-cn,下胜木
下勝木,zh-tw,下勝木
虹山団地上,ja,虹山団地上
虹山団地上,ja-Hrkt,にじやまだんちかみ
虹山団地上,en,Nijiyama Danchi-kami
虹山団地上,ko,니지야마 단치 카미
虹山団地上,zh-cn,虹山团地上
虹山団地上,zh-tw,虹山團地上
虹山団地中,ja,虹山団地中
虹山団地中,ja-Hrkt,にじやまだんちなか
虹山団地中,en,Nijiyama Danchi-naka
虹山団地中,ko,니지야마 단치 나카
虹山団地中,zh-cn,虹山团地中
虹山団地中,zh-tw,虹山團地中
虹山団地下,ja,虹山団地下
虹山団地下,ja-Hrkt,にじやまだんちしも
虹山団地下,en,Nijiyama Danchi-shimo
虹山団地下,ko,니지야마 단치 시모
虹山団地下,zh-cn,虹山团地下
虹山団地下,zh-tw,虹山團地下
中大毛寺,ja,中大毛寺
中大毛寺,ja-Hrkt,なかおおもじ
中大毛寺,en,Naka-omoji
中大毛寺,ko,나카오모지
中大毛寺,zh-cn,中大毛寺
中大毛寺,zh-tw,中大毛寺
下大毛寺,ja,下大毛寺
下大毛寺,ja-Hrkt,しもおおもじ
下大毛寺,en,Shimo-omoji
下大毛寺,ko,시모오모지
下大毛寺,zh-cn,下大毛寺
下大毛寺,zh-tw,下大毛寺
船山,ja,船山
船山,ja-Hrkt,ふなやま
船山,en,Funayama
船山,ko,후나야마
船山,zh-cn,船山
船山,zh-tw,船山
福王寺口,ja,福王寺口
福王寺口,ja-Hrkt,ふくおうじぐち
福王寺口,en,Fukuoji-guchi (Fukuoji Temple)
福王寺口,ko,후쿠오지 절
福王寺口,zh-cn,福王寺口
福王寺口,zh-tw,福王寺口
安佐北区民文化センター入口,ja,安佐北区民文化センター入口
安佐北区民文化センター入口,ja-Hrkt,あさきたくみんぶんかせんたーいりぐち
安佐北区民文化センター入口,en,Asakita Kumin Bunka Center-iriguchi (Asakita Ward Community Cultural Center)
